id;task;required_to_complete;date_created;date_cancelled;date_completed;sequence_order
1;indexing Antillian multi-byte;false;2021-09-14;2021-09-13;2021-09-14;99861
2;Identity Home models;true;2021-09-14;2021-09-14;2021-09-14;19188
3;Small;false;2021-09-13;2021-09-14;2021-09-14;33288
4;Markets;true;2021-09-14;2021-09-13;2021-09-13;68962
5;JSON Handmade;false;2021-09-14;2021-09-14;2021-09-14;37646
6;synergy;false;2021-09-14;2021-09-13;2021-09-14;39721
7;Fords;false;2021-09-14;2021-09-14;2021-09-14;95966
8;generate Profound;true;2021-09-13;2021-09-13;2021-09-14;53360
9;Macedonia;true;2021-09-13;2021-09-14;2021-09-14;21608
10;Kansas Frozen;true;2021-09-14;2021-09-13;2021-09-14;78784
