id;task;required_to_complete;date_created;date_cancelled;date_completed;sequence_order
1;Creative Kansas;false;2021-09-14;2021-09-13;2021-09-14;11981
2;Rapids withdrawal;true;2021-09-14;2021-09-14;2021-09-14;75452
3;Small withdrawal;false;2021-09-14;2021-09-14;2021-09-13;79280
4;Integration array revolutionary;false;2021-09-14;2021-09-13;2021-09-14;84425
5;France blue Alabama;false;2021-09-14;2021-09-14;2021-09-14;21183
6;AGP;false;2021-09-14;2021-09-14;2021-09-14;4395
7;magenta Bike;false;2021-09-14;2021-09-13;2021-09-14;40752
8;Engineer;true;2021-09-14;2021-09-14;2021-09-14;65154
9;wireless;false;2021-09-14;2021-09-14;2021-09-14;66201
10;Tala Estonia;true;2021-09-14;2021-09-13;2021-09-14;54488
